"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"near:Near:1                          ","Class","Near","1.0.0.0","near","NEAR mission related properties","sbn","","","","","","","","","","",""
"near:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","near","Observation related properties ","sbn","","","","","","","","","","",""
"near:Observation_Information:2        near:sequence_table_ID:1             ","Attribute","sequence_table_ID","n/a","near","The sequence_table_id element provides an unique identified for the sequence table that was used for a set of observations. The sequence table provides the image acquistion sequences that specify the camera and filter image sequencing. It indicates the order in which cameras are shuttered and the order for which filters are used.","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"near:Observation_Information:2        near:sequence_title:1                ","Attribute","sequence_title","n/a","near","The sequence_title element provides the title assigned to a particular observation sequence during planning or data processing.","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"near:Observation_Information:2        near:inst_cmprs_quantz_tbl_id:1      ","Attribute","inst_cmprs_quantz_tbl_id","n/a","near","The inst_cmprs_quantz_tbl_id element identifies the reference table used for quantization in the frequency domain for on-board transform compression. This name or code should be specific enough to allow the user of the data to have sufficient information to reference the quantization table used to compress the data.","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
